source_image_id,design,kind,depth_um,expected_photons,replicate,panoptic_quality,segmentation_quality,recognition_quality,true_positives,false_positives,false_negatives,predicted_count,target_count,absolute_count_error,percentage_count_error,foreground_dice
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,clear,deterministic,-6.0,100,-1,0.5068668768376953,0.8043756958511252,0.6301369863013698,46,30,24,76,70,6,0.08571428571428572,0.7138143791824333
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,clear,deterministic,-4.0,100,-1,0.5338259043615117,0.8298566331438045,0.6432748538011696,55,46,15,101,70,31,0.44285714285714284,0.8609876917431778
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,clear,deterministic,-2.0,100,-1,0.5430216009207193,0.8290776228343125,0.6549707602339181,56,45,14,101,70,31,0.44285714285714284,0.8704581731260664
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,clear,deterministic,0.0,100,-1,0.5401286866965619,0.8294833402840057,0.6511627906976745,56,46,14,102,70,32,0.45714285714285713,0.8706159462960782
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,clear,deterministic,2.0,100,-1,0.5430216009207193,0.8290776228343125,0.6549707602339181,56,45,14,101,70,31,0.44285714285714284,0.8704581731260664
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,clear,deterministic,4.0,100,-1,0.5338259043615117,0.8298566331438045,0.6432748538011696,55,46,15,101,70,31,0.44285714285714284,0.8609876917431778
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,clear,deterministic,6.0,100,-1,0.5068668768376953,0.8043756958511252,0.6301369863013698,46,30,24,76,70,6,0.08571428571428572,0.7138143791824333
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,clear,poisson,-6.0,50,0,0.5414198693629724,0.8072078052320678,0.6707317073170732,55,39,15,94,70,24,0.34285714285714286,0.8493312927315096
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,clear,poisson,-6.0,50,1,0.5160927945563472,0.8179583913723238,0.6309523809523809,53,45,17,98,70,28,0.4,0.8460853272721688
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,clear,poisson,-6.0,50,2,0.5216485979439514,0.816283454190072,0.6390532544378699,54,45,16,99,70,29,0.4142857142857143,0.8481960207900838
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,clear,poisson,-6.0,50,3,0.543960595120934,0.806397724345946,0.6745562130177515,57,42,13,99,70,29,0.4142857142857143,0.851249238269348
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,clear,poisson,-6.0,200,0,0.5430131944095481,0.8290647878931494,0.6549707602339181,56,45,14,101,70,31,0.44285714285714284,0.8723692008448949
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,clear,poisson,-6.0,200,1,0.5500022761842606,0.8299141488851788,0.6627218934911243,56,43,14,99,70,29,0.4142857142857143,0.8688117674097908
